"product_category_name_english","customer_state","customer_state_full","total_payment","rank","pct_of_category"
"agro_industry_and_commerce","MG","Minas Gerais",44016.72,1,38.07
"agro_industry_and_commerce","SP","São Paulo",30871.12,2,26.7
"agro_industry_and_commerce","RJ","Rio de Janeiro",9770.67,3,8.45
"air_conditioning","SP","São Paulo",42274.58,1,47.58
"air_conditioning","RJ","Rio de Janeiro",23252.5,2,26.17
"air_conditioning","MG","Minas Gerais",6258.3,3,7.04
"art","SP","São Paulo",16204.96,1,56.86
"art","RJ","Rio de Janeiro",3725.1,2,13.07
"art","MG","Minas Gerais",1699.96,3,5.97
"arts_and_craftmanship","SP","São Paulo",1189.39,1,51.13
"arts_and_craftmanship","MG","Minas Gerais",670.76,2,28.84
"arts_and_craftmanship","SC","Santa Catarina",314.32,3,13.51
"audio","SP","São Paulo",20220.97,1,33.6
"audio","RJ","Rio de Janeiro",11637.86,2,19.34
"audio","MG","Minas Gerais",6750.72,3,11.22
"auto","SP","São Paulo",268468.08,1,32.2
"auto","MG","Minas Gerais",99769.84,2,11.97
"auto","RJ","Rio de Janeiro",82395.77,3,9.88
"baby","SP","São Paulo",191316.53,1,36.4
"baby","MG","Minas Gerais",64107.38,2,12.2
"baby","RJ","Rio de Janeiro",53202.38,3,10.12
"bed_bath_table","SP","São Paulo",756727.97,1,44.71
"bed_bath_table","RJ","Rio de Janeiro",242431.81,2,14.32
"bed_bath_table","MG","Minas Gerais",216969.38,3,12.82
"books_general_interest","SP","São Paulo",24614.77,1,39.18
"books_general_interest","MG","Minas Gerais",6478.74,2,10.31
"books_general_interest","RJ","Rio de Janeiro",4990.75,3,7.94
"books_imported","SP","São Paulo",3480,1,54.01
"books_imported","MA","Maranhão",804.96,2,12.49
"books_imported","RJ","Rio de Janeiro",755.18,3,11.72
"books_technical","SP","São Paulo",8809.93,1,36.05
"books_technical","MG","Minas Gerais",2707.41,2,11.08
"books_technical","RJ","Rio de Janeiro",2152.29,3,8.81
"cds_dvds_musicals","RS","Rio Grande do Sul",549.99,1,45.85
"cds_dvds_musicals","SP","São Paulo",409.64,2,34.15
"cds_dvds_musicals","RJ","Rio de Janeiro",122.22,3,10.19
"christmas_supplies","PA","Pará",5589.72,1,29.59
"christmas_supplies","SP","São Paulo",3292.61,2,17.43
"christmas_supplies","SC","Santa Catarina",1900.56,3,10.06
