"customer_state_full","product_category","total_payment","rank"
"Acre","furniture_decor",5261.23,1
"Acre","sports_leisure",2071.54,2
"Acre","health_beauty",2067.62,3
"Alagoas","health_beauty",14741.33,1
"Alagoas","computers_accessories",14280.47,2
"Alagoas","watches_gifts",13249.34,3
"Amazonas","computers_accessories",5866.85,1
"Amazonas","health_beauty",4566.7,2
"Amazonas","garden_tools",2267.8,3
"Amapá","computers_accessories",4128.95,1
"Amapá","watches_gifts",2016.42,2
"Amapá","bed_bath_table",1899.93,3
"Bahia","health_beauty",65382.14,1
"Bahia","computers_accessories",58308.56,2
"Bahia","sports_leisure",57880.04,3
"Ceará","health_beauty",45615.12,1
"Ceará","watches_gifts",35362.19,2
"Ceará","computers_accessories",19148.15,3
"Federal District","computers_accessories",38634.68,1
"Federal District","health_beauty",38294.58,2
"Federal District","sports_leisure",36794.64,3
"Espírito Santo","bed_bath_table",34481.72,1
"Espírito Santo","watches_gifts",32627.85,2
"Espírito Santo","fixed_telephony",30248.54,3
"Goiás","auto",57732,1
"Goiás","garden_tools",42451.17,2
"Goiás","housewares",41963.9,3
"Maranhão","computers_accessories",32283.55,1
"Maranhão","health_beauty",17625.19,2
"Maranhão","sports_leisure",14281.47,3
"Minas Gerais","bed_bath_table",216969.38,1
"Minas Gerais","health_beauty",196285.96,2
"Minas Gerais","computers_accessories",170939.37,3
"Mato Grosso do Sul","sports_leisure",14432.14,1
"Mato Grosso do Sul","health_beauty",14065.61,2
"Mato Grosso do Sul","housewares",13155.19,3
"Mato Grosso","health_beauty",21028.01,1
"Mato Grosso","signaling_and_security",19457.04,2
"Mato Grosso","auto",18449.07,3
"Pará","health_beauty",31145.63,1
"Pará","watches_gifts",24090.11,2
"Pará","furniture_decor",19757.66,3
"Paraíba","health_beauty",19472.68,1
"Paraíba","signaling_and_security",17069.76,2
"Paraíba","computers_accessories",15726.87,3
"Pernambuco","health_beauty",55903.7,1
"Pernambuco","watches_gifts",39978.61,2
"Pernambuco","sports_leisure",27939.5,3
"Piauí","auto",20026.82,1
"Piauí","health_beauty",14944.45,2
"Piauí","bed_bath_table",10397.57,3
"Paraná","furniture_decor",114060.51,1
"Paraná","watches_gifts",85401.59,2
"Paraná","sports_leisure",80240.53,3
"Rio de Janeiro","bed_bath_table",242431.81,1
"Rio de Janeiro","watches_gifts",207651.19,2
"Rio de Janeiro","computers_accessories",189763.18,3
"Rio Grande do Norte","health_beauty",16112.05,1
"Rio Grande do Norte","watches_gifts",12269.07,2
"Rio Grande do Norte","telephony",6783.72,3
"Rondônia","health_beauty",8517.22,1
"Rondônia","sports_leisure",5202.34,2
"Rondônia","watches_gifts",5010.18,3
"Roraima","sports_leisure",2579.08,1
"Roraima","bed_bath_table",1532.36,2
"Roraima","furniture_decor",1172.05,3
"Rio Grande do Sul","computers_accessories",108472.88,1
"Rio Grande do Sul","bed_bath_table",93423.36,2
"Rio Grande do Sul","furniture_decor",93386.58,3
"Santa Catarina","computers_accessories",63469.16,1
"Santa Catarina","sports_leisure",60391.48,2
"Santa Catarina","furniture_decor",60206.09,3
"Sergipe","health_beauty",9639.74,1
"Sergipe","furniture_decor",8544.12,2
"Sergipe","garden_tools",7908.35,3
"São Paulo","bed_bath_table",756727.97,1
"São Paulo","computers_accessories",622332.38,2
"São Paulo","health_beauty",604558.9,3
"Tocantins","health_beauty",8368.96,1
"Tocantins","sports_leisure",6961.25,2
"Tocantins","watches_gifts",6719.31,3
