"customer_state_full","product_category","total_payment","rank"
"Acre","moveis_decoracao",5261.23,1
"Acre","esporte_lazer",2071.54,2
"Acre","beleza_saude",2067.62,3
"Alagoas","beleza_saude",14741.33,1
"Alagoas","informatica_acessorios",14280.47,2
"Alagoas","relogios_presentes",13249.34,3
"Amazonas","informatica_acessorios",5866.85,1
"Amazonas","beleza_saude",4566.7,2
"Amazonas","ferramentas_jardim",2267.8,3
"Amapá","informatica_acessorios",4128.95,1
"Amapá","relogios_presentes",2016.42,2
"Amapá","cama_mesa_banho",1899.93,3
"Bahia","beleza_saude",65382.14,1
"Bahia","informatica_acessorios",58308.56,2
"Bahia","esporte_lazer",57880.04,3
"Ceará","beleza_saude",45615.12,1
"Ceará","relogios_presentes",35362.19,2
"Ceará","informatica_acessorios",19148.15,3
"Federal District","informatica_acessorios",38634.68,1
"Federal District","beleza_saude",38294.58,2
"Federal District","esporte_lazer",36794.64,3
"Espírito Santo","cama_mesa_banho",34481.72,1
"Espírito Santo","relogios_presentes",32627.85,2
"Espírito Santo","telefonia_fixa",30248.54,3
"Goiás","automotivo",57732,1
"Goiás","ferramentas_jardim",42451.17,2
"Goiás","utilidades_domesticas",41963.9,3
"Maranhão","informatica_acessorios",32283.55,1
"Maranhão","beleza_saude",17625.19,2
"Maranhão","esporte_lazer",14281.47,3
"Minas Gerais","cama_mesa_banho",216969.38,1
"Minas Gerais","beleza_saude",196285.96,2
"Minas Gerais","informatica_acessorios",170939.37,3
"Mato Grosso do Sul","esporte_lazer",14432.14,1
"Mato Grosso do Sul","beleza_saude",14065.61,2
"Mato Grosso do Sul","utilidades_domesticas",13155.19,3
"Mato Grosso","beleza_saude",21028.01,1
"Mato Grosso","sinalizacao_e_seguranca",19457.04,2
"Mato Grosso","automotivo",18449.07,3
"Pará","beleza_saude",31145.63,1
"Pará","relogios_presentes",24090.11,2
"Pará","moveis_decoracao",19757.66,3
"Paraíba","beleza_saude",19472.68,1
"Paraíba","sinalizacao_e_seguranca",17069.76,2
"Paraíba","informatica_acessorios",15726.87,3
"Pernambuco","beleza_saude",55903.7,1
"Pernambuco","relogios_presentes",39978.61,2
"Pernambuco","esporte_lazer",27939.5,3
"Piauí","automotivo",20026.82,1
"Piauí","beleza_saude",14944.45,2
"Piauí","cama_mesa_banho",10397.57,3
"Paraná","moveis_decoracao",114060.51,1
"Paraná","relogios_presentes",85401.59,2
"Paraná","esporte_lazer",80240.53,3
"Rio de Janeiro","cama_mesa_banho",242431.81,1
"Rio de Janeiro","relogios_presentes",207651.19,2
"Rio de Janeiro","informatica_acessorios",189763.18,3
"Rio Grande do Norte","beleza_saude",16112.05,1
"Rio Grande do Norte","relogios_presentes",12269.07,2
"Rio Grande do Norte","telefonia",6783.72,3
"Rondônia","beleza_saude",8517.22,1
"Rondônia","esporte_lazer",5202.34,2
"Rondônia","relogios_presentes",5010.18,3
"Roraima","esporte_lazer",2579.08,1
"Roraima","cama_mesa_banho",1532.36,2
"Roraima","moveis_decoracao",1172.05,3
"Rio Grande do Sul","informatica_acessorios",108472.88,1
"Rio Grande do Sul","cama_mesa_banho",93423.36,2
"Rio Grande do Sul","moveis_decoracao",93386.58,3
"Santa Catarina","informatica_acessorios",63469.16,1
"Santa Catarina","esporte_lazer",60391.48,2
"Santa Catarina","moveis_decoracao",60206.09,3
"Sergipe","beleza_saude",9639.74,1
"Sergipe","moveis_decoracao",8544.12,2
"Sergipe","ferramentas_jardim",7908.35,3
"São Paulo","cama_mesa_banho",756727.97,1
"São Paulo","informatica_acessorios",622332.38,2
"São Paulo","beleza_saude",604558.9,3
"Tocantins","beleza_saude",8368.96,1
"Tocantins","esporte_lazer",6961.25,2
"Tocantins","relogios_presentes",6719.31,3
